"","Date","Index","Close"
"1",1996-12-31,"S&P 500",740.7399902
"2",1996-12-31,"Dow Jones",6448.27002
"3",1996-12-31,"DAX",NA
"4",1996-12-31,"Nikkei",NA
"5",1997-01-02,"S&P 500",737.0100098
"6",1997-01-02,"Dow Jones",6442.490234
"7",1997-01-02,"DAX",2820.810059
"8",1997-01-02,"Nikkei",NA
"9",1997-01-03,"S&P 500",748.0300293
"10",1997-01-03,"Dow Jones",6544.089844
"11",1997-01-03,"DAX",2863.26001
"12",1997-01-03,"Nikkei",NA
"13",1997-01-06,"S&P 500",747.6500244
"14",1997-01-06,"Dow Jones",6567.180176
"15",1997-01-06,"DAX",2890.199951
"16",1997-01-06,"Nikkei",19446
"17",1997-01-07,"S&P 500",753.2299805
"18",1997-01-07,"Dow Jones",6600.660156
"19",1997-01-07,"DAX",2876.340088
"20",1997-01-07,"Nikkei",18896.18945
"21",1997-01-08,"S&P 500",748.4099731
"22",1997-01-08,"Dow Jones",6549.47998
"23",1997-01-08,"DAX",2904.080078
"24",1997-01-08,"Nikkei",18680.38086
"25",1997-01-09,"S&P 500",754.8499756
"26",1997-01-09,"Dow Jones",6625.669922
"27",1997-01-09,"DAX",2936.689941
"28",1997-01-09,"Nikkei",18073.86914
"29",1997-01-10,"S&P 500",759.5
"30",1997-01-10,"Dow Jones",6703.790039
"31",1997-01-10,"DAX",2915.810059
"32",1997-01-10,"Nikkei",17303.65039
"33",1997-01-13,"S&P 500",759.5100098
"34",1997-01-13,"Dow Jones",6709.180176
"35",1997-01-13,"DAX",2956.780029
"36",1997-01-13,"Nikkei",18118.78906
"37",1997-01-14,"S&P 500",768.8599854
"38",1997-01-14,"Dow Jones",6762.290039
"39",1997-01-14,"DAX",2978.840088
"40",1997-01-14,"Nikkei",18093.13086
"41",1997-01-15,"S&P 500",767.2000122
"42",1997-01-15,"Dow Jones",6726.879883
"43",1997-01-15,"DAX",2976.560059
"44",1997-01-15,"Nikkei",NA
"45",1997-01-16,"S&P 500",769.75
"46",1997-01-16,"Dow Jones",6765.370117
"47",1997-01-16,"DAX",2996.120117
"48",1997-01-16,"Nikkei",18144.33984
"49",1997-01-17,"S&P 500",776.1699829
"50",1997-01-17,"Dow Jones",6833.100098
"51",1997-01-17,"DAX",3006.870117
"52",1997-01-17,"Nikkei",18090.03906
"53",1997-01-20,"S&P 500",776.7000122
"54",1997-01-20,"Dow Jones",6843.870117
"55",1997-01-20,"DAX",2999.189941
"56",1997-01-20,"Nikkei",17480.33984
"57",1997-01-21,"S&P 500",782.7199707
"58",1997-01-21,"Dow Jones",6883.899902
"59",1997-01-21,"DAX",3000.659912
"60",1997-01-21,"Nikkei",17358.16016
"61",1997-01-22,"S&P 500",786.2299805
"62",1997-01-22,"Dow Jones",6850.029785
"63",1997-01-22,"DAX",3026.629883
"64",1997-01-22,"Nikkei",18013.88086
"65",1997-01-23,"S&P 500",777.5599976
"66",1997-01-23,"Dow Jones",6755.75
"67",1997-01-23,"DAX",3037.280029
"68",1997-01-23,"Nikkei",17909.46094
"69",1997-01-24,"S&P 500",770.5200195
"70",1997-01-24,"Dow Jones",6696.47998
"71",1997-01-24,"DAX",2982.629883
"72",1997-01-24,"Nikkei",17689.35938
"73",1997-01-27,"S&P 500",765.0200195
"74",1997-01-27,"Dow Jones",6660.689941
"75",1997-01-27,"DAX",2992.550049
"76",1997-01-27,"Nikkei",17334.90039
"77",1997-01-28,"S&P 500",765.0200195
"78",1997-01-28,"Dow Jones",6656.080078
"79",1997-01-28,"DAX",3028.27002
"80",1997-01-28,"Nikkei",17796.57031
"81",1997-01-29,"S&P 500",772.5
"82",1997-01-29,"Dow Jones",6740.740234
"83",1997-01-29,"DAX",2997.949951
"84",1997-01-29,"Nikkei",18335.30078
"85",1997-01-30,"S&P 500",784.1699829
"86",1997-01-30,"Dow Jones",6823.859863
"87",1997-01-30,"DAX",3018.580078
"88",1997-01-30,"Nikkei",17864.03906
"89",1997-01-31,"S&P 500",786.1599731
"90",1997-01-31,"Dow Jones",6813.089844
"91",1997-01-31,"DAX",3037.699951
"92",1997-01-31,"Nikkei",18330.00977
"93",1997-02-03,"S&P 500",786.7299805
"94",1997-02-03,"Dow Jones",6806.160156
"95",1997-02-03,"DAX",3064.699951
"96",1997-02-03,"Nikkei",18085.94922
"97",1997-02-04,"S&P 500",789.2600098
"98",1997-02-04,"Dow Jones",6833.47998
"99",1997-02-04,"DAX",3067.47998
"100",1997-02-04,"Nikkei",18314.33008
"101",1997-02-05,"S&P 500",778.2800293
"102",1997-02-05,"Dow Jones",6746.899902
"103",1997-02-05,"DAX",3114.72998
"104",1997-02-05,"Nikkei",18185.9707
"105",1997-02-06,"S&P 500",780.1500244
"106",1997-02-06,"Dow Jones",6773.060059
"107",1997-02-06,"DAX",3124.780029
"108",1997-02-06,"Nikkei",18038.42969
"109",1997-02-07,"S&P 500",789.5599976
"110",1997-02-07,"Dow Jones",6855.799805
"111",1997-02-07,"DAX",3161.360107
"112",1997-02-07,"Nikkei",17867.03906
"113",1997-02-10,"S&P 500",785.4299927
"114",1997-02-10,"Dow Jones",6806.540039
"115",1997-02-10,"DAX",3185.719971
"116",1997-02-10,"Nikkei",18181.16992
"117",1997-02-11,"S&P 500",789.5900269
"118",1997-02-11,"Dow Jones",6858.109863
"119",1997-02-11,"DAX",3191.449951
"120",1997-02-11,"Nikkei",18314
"121",1997-02-12,"S&P 500",802.7700195
"122",1997-02-12,"Dow Jones",6961.629883
"123",1997-02-12,"DAX",3211.01001
"124",1997-02-12,"Nikkei",18409.96094
"125",1997-02-13,"S&P 500",811.8200073
"126",1997-02-13,"Dow Jones",7022.439941
"127",1997-02-13,"DAX",3256.860107
"128",1997-02-13,"Nikkei",18688.06055
"129",1997-02-14,"S&P 500",808.4799805
"130",1997-02-14,"Dow Jones",6988.959961
"131",1997-02-14,"DAX",3249.169922
"132",1997-02-14,"Nikkei",18722
"133",1997-02-18,"S&P 500",816.289978
"134",1997-02-18,"Dow Jones",7067.459961
"135",1997-02-18,"DAX",3230.830078
"136",1997-02-18,"Nikkei",18470.75
"137",1997-02-19,"S&P 500",812.4899902
"138",1997-02-19,"Dow Jones",7020.129883
"139",1997-02-19,"DAX",3209.040039
"140",1997-02-19,"Nikkei",18599.11914
"141",1997-02-20,"S&P 500",802.7999878
"142",1997-02-20,"Dow Jones",6927.379883
"143",1997-02-20,"DAX",3197.090088
"144",1997-02-20,"Nikkei",19051.71094
"145",1997-02-21,"S&P 500",801.7700195
"146",1997-02-21,"Dow Jones",6931.620117
"147",1997-02-21,"DAX",3203.790039
"148",1997-02-21,"Nikkei",19034.53906
"149",1997-02-24,"S&P 500",810.2800293
"150",1997-02-24,"Dow Jones",7008.200195
"151",1997-02-24,"DAX",3180.629883
"152",1997-02-24,"Nikkei",18896.99023
"153",1997-02-25,"S&P 500",812.0300293
"154",1997-02-25,"Dow Jones",7037.830078
"155",1997-02-25,"DAX",3233.340088
"156",1997-02-25,"Nikkei",19070.07031
"157",1997-02-26,"S&P 500",805.6799927
"158",1997-02-26,"Dow Jones",6983.180176
"159",1997-02-26,"DAX",3245.02002
"160",1997-02-26,"Nikkei",18990.91992
"161",1997-02-27,"S&P 500",795.0700073
"162",1997-02-27,"Dow Jones",6925.069824
"163",1997-02-27,"DAX",3272.580078
"164",1997-02-27,"Nikkei",19021.56055
"165",1997-02-28,"S&P 500",790.8200073
"166",1997-02-28,"Dow Jones",6877.740234
"167",1997-02-28,"DAX",3261.040039
"168",1997-02-28,"Nikkei",18557
"169",1997-03-03,"S&P 500",795.3099976
"170",1997-03-03,"Dow Jones",6918.919922
"171",1997-03-03,"DAX",3258.73999
"172",1997-03-03,"Nikkei",18429.13086
"173",1997-03-04,"S&P 500",790.9500122
"174",1997-03-04,"Dow Jones",6852.720215
"175",1997-03-04,"DAX",3345.090088
"176",1997-03-04,"Nikkei",18564.7793
"177",1997-03-05,"S&P 500",801.9899902
"178",1997-03-05,"Dow Jones",6945.850098
"179",1997-03-05,"DAX",3375.449951
"180",1997-03-05,"Nikkei",18273.50977
"181",1997-03-06,"S&P 500",798.5599976
"182",1997-03-06,"Dow Jones",6944.700195
"183",1997-03-06,"DAX",3396.550049
"184",1997-03-06,"Nikkei",18041.33008
"185",1997-03-07,"S&P 500",804.9699707
"186",1997-03-07,"Dow Jones",7000.890137
"187",1997-03-07,"DAX",3419.51001
"188",1997-03-07,"Nikkei",18198.74023
"189",1997-03-10,"S&P 500",813.6500244
"190",1997-03-10,"Dow Jones",7079.390137
"191",1997-03-10,"DAX",3426.77002
"192",1997-03-10,"Nikkei",18113.89063
"193",1997-03-11,"S&P 500",811.3400269
"194",1997-03-11,"Dow Jones",7085.160156
"195",1997-03-11,"DAX",3430.949951
"196",1997-03-11,"Nikkei",18267.7207
"197",1997-03-12,"S&P 500",804.2600098
"198",1997-03-12,"Dow Jones",7039.370117
"199",1997-03-12,"DAX",3382.399902
"200",1997-03-12,"Nikkei",18183.26953
"201",1997-03-13,"S&P 500",789.5599976
"202",1997-03-13,"Dow Jones",6878.890137
"203",1997-03-13,"DAX",3367.820068
"204",1997-03-13,"Nikkei",17900.48047
"205",1997-03-14,"S&P 500",793.1699829
"206",1997-03-14,"Dow Jones",6935.459961
"207",1997-03-14,"DAX",3404.290039
"208",1997-03-14,"Nikkei",17923.64063
"209",1997-03-17,"S&P 500",795.710022
"210",1997-03-17,"Dow Jones",6955.47998
"211",1997-03-17,"DAX",3337.110107
"212",1997-03-17,"Nikkei",18053.5
"213",1997-03-18,"S&P 500",789.6599731
"214",1997-03-18,"Dow Jones",6896.560059
"215",1997-03-18,"DAX",3289.590088
